Generation,Best,Worst,Average
0,16,6,10.75
1,17,4,10.4375
2,18,0,10.375
3,15,5,10.125
4,20,8,12.6875
5,16,6,12.0625
6,26,3,10.3125
7,25,5,11.375
8,25,8,11.1875
9,31,7,16.0625
10,32,6,16.875
11,24,7,15.8125
12,32,8,15.0625
13,26,7,17.8125
14,29,14,21.5
15,40,11,22.25
16,37,16,23.125
17,31,16,21.5
18,34,16,23.5625
19,36,15,22.6875
20,31,8,21.25
21,40,8,22.625
22,38,15,22.0625
23,33,12,22.0
24,29,15,22.0
25,31,12,20.75
26,30,13,21.4375
27,39,15,23.3125
28,31,12,20.1875
29,34,4,19.3125
30,38,4,17.8125
31,38,10,23.125
32,43,6,25.6875
33,41,8,30.0625
34,42,15,31.1875
35,44,14,30.5
36,41,20,33.25
37,40,20,30.5625
38,39,14,32.1875
39,42,19,30.125
40,43,14,33.25
41,43,11,31.375
42,44,23,34.125
43,41,17,27.875
44,46,17,27.6875
45,39,14,25.3125
46,44,17,32.0
47,48,24,33.125
48,39,17,30.875
49,37,12,29.3125
50,42,19,33.0
51,45,23,35.5
52,41,19,31.6875
53,47,22,33.0625
54,44,12,29.625
55,48,14,29.75
56,42,17,31.4375
57,42,9,30.3125
58,44,16,31.6875
59,45,10,29.25
60,39,19,32.125
61,42,16,31.9375
62,41,25,32.4375
63,44,21,33.375
64,44,21,32.6875
65,42,21,32.25
66,44,21,32.9375
67,45,22,31.6875
68,41,22,32.875
69,45,11,31.8125
70,39,27,31.625
71,38,14,27.25
72,46,7,32.625
73,42,21,28.875
74,41,19,29.625
75,41,14,30.6875
76,39,11,31.0
77,40,21,33.0625
78,41,18,31.5
79,39,10,30.75
80,41,23,30.8125
81,45,22,33.75
82,41,7,29.625
83,43,16,29.375
84,40,18,32.375
85,41,13,34.0625
86,39,16,29.1875
87,39,17,29.0
88,41,21,32.6875
89,37,18,30.1875
90,38,18,29.3125
91,40,21,32.375
92,39,18,30.875
93,39,24,32.5
94,40,21,31.125
95,53,25,35.5625
96,45,13,28.4375
97,39,23,32.5625
98,41,12,29.3125
99,45,20,32.375
100,42,26,33.8125
101,38,15,30.375
102,45,27,34.3125
103,38,18,32.0625
104,39,20,32.3125
105,41,11,32.125
106,43,18,32.5
107,42,19,32.75
108,48,13,30.875
109,40,10,29.6875
110,42,18,31.75
111,44,18,32.3125
112,41,16,31.75
113,39,23,31.625
114,40,19,30.25
115,42,22,35.0
116,41,18,31.875
117,36,14,28.875
118,46,22,32.0625
119,42,7,30.875
120,43,13,33.25
121,42,21,34.0625
122,45,25,32.6875
123,44,26,32.375
124,42,21,32.9375
125,42,27,33.8125
126,38,20,29.9375
127,41,23,32.0
128,40,23,32.0625
129,43,23,30.5625
130,42,20,30.9375
131,44,15,30.0
132,41,9,30.5
133,41,22,32.1875
134,40,25,33.375
135,46,11,31.5625
136,40,18,33.3125
137,39,22,31.9375
138,43,12,29.6875
139,41,23,33.25
140,39,17,30.25
141,39,16,30.4375
142,51,17,31.4375
143,42,23,30.75
144,37,19,30.4375
145,44,19,33.3125
146,42,23,31.5625
147,46,17,32.9375
148,42,9,28.0625
149,48,23,34.125
150,38,12,30.1875
151,45,27,34.0
152,40,13,30.9375
153,44,14,30.625
154,39,6,27.8125
155,41,18,32.0
156,41,16,30.3125
157,37,17,28.625
158,48,21,32.625
159,40,26,33.4375
160,39,23,32.375
161,44,20,31.1875
162,44,21,31.625
163,41,21,31.8125
164,47,22,32.8125
165,42,22,32.375
166,49,23,32.75
167,38,17,31.5
168,41,16,33.0625
169,43,21,32.6875
170,39,21,33.25
171,39,29,32.5
172,42,20,34.0625
173,44,20,32.0
174,40,19,28.625
175,44,15,34.125
176,37,13,29.5
177,39,7,29.5
178,43,27,33.9375
179,40,18,31.5625
180,42,16,30.0
181,42,14,32.3125
182,41,21,30.9375
183,38,28,33.0
184,44,19,34.1875
185,38,13,28.4375
186,39,20,29.9375
187,44,21,34.25
188,43,14,31.0
189,39,21,31.0
190,38,8,29.375
191,43,20,31.4375
192,42,19,34.0
193,48,22,34.0
194,42,9,31.1875
195,43,27,34.625
196,40,15,31.5625
197,41,21,31.0625
198,46,26,32.625
199,40,23,32.3125
200,38,22,32.0
201,44,25,32.3125
202,40,12,31.0625
203,44,26,32.625
204,45,23,32.625
205,44,24,33.8125
206,41,21,32.625
207,43,23,30.9375
208,44,25,33.6875
209,38,13,29.375
210,38,21,31.125
211,42,9,29.75
212,42,28,32.375
213,39,22,31.875
214,47,17,31.9375
215,49,14,31.9375
216,45,22,32.25
217,37,22,31.375
218,41,15,31.9375
219,38,25,32.1875
220,38,12,29.125
221,47,9,31.6875
222,41,20,30.8125
223,41,19,30.625
224,46,20,31.0
225,40,16,32.0625
226,39,19,31.125
227,40,9,30.5625
228,48,15,30.8125
229,41,18,33.5
230,37,16,31.375
231,37,9,27.6875
232,38,15,29.25
233,40,22,32.125
234,37,17,31.0625
235,42,15,31.375
236,43,26,33.5
237,46,23,33.0625
238,40,17,29.1875
239,42,27,33.4375
240,38,21,30.5625
241,36,17,30.1875
242,39,9,31.1875
243,43,17,31.8125
244,40,20,31.4375
245,42,23,32.0
246,44,16,27.625
247,38,14,27.125
248,41,21,32.0
249,47,7,33.1875
250,41,13,31.25
251,45,13,31.3125
252,41,12,28.1875
253,44,15,31.5625
254,42,20,31.25
255,42,22,32.5625
256,42,9,31.125
257,43,22,31.75
258,40,23,32.875
259,43,10,31.4375
260,45,22,32.125
261,44,16,33.125
262,38,11,30.25
263,40,25,33.5
264,43,23,32.3125
265,39,13,30.75
266,43,7,28.625
267,44,12,30.875
268,43,16,31.5625
269,42,21,34.875
270,34,7,27.625
271,44,21,32.6875
272,42,7,28.75
273,42,8,29.6875
274,43,22,32.125
275,39,20,31.625
276,41,15,32.625
277,42,12,30.9375
278,42,22,31.6875
279,44,25,33.5
280,42,16,31.75
281,39,17,29.8125
282,40,19,31.0625
283,41,23,32.5
284,40,19,30.875
285,41,24,35.375
286,45,23,32.4375
287,43,20,33.1875
288,42,18,31.1875
289,41,21,31.3125
290,39,20,30.6875
291,46,17,31.0625
292,40,14,31.6875
293,42,22,32.4375
294,42,20,32.1875
295,42,18,35.0
296,37,20,32.3125
297,40,21,31.8125
298,41,14,32.4375
299,42,20,32.5625
300,46,22,33.1875
301,42,20,32.4375
302,40,7,29.4375
303,39,25,31.9375
304,45,16,29.8125
305,40,21,31.8125
306,40,25,32.8125
307,42,17,30.25
308,49,7,31.1875
309,42,19,32.375
310,40,14,33.6875
311,42,11,33.9375
312,42,20,31.375
313,43,22,33.625
314,37,23,31.375
315,41,21,29.875
316,41,16,31.6875
317,40,13,32.0625
318,43,15,28.5
319,40,9,27.8125
320,38,9,27.375
321,40,18,31.0
322,45,19,32.1875
323,43,26,34.0
324,45,13,28.3125
325,38,20,30.4375
326,38,9,28.75
327,41,22,33.5
328,45,10,29.5625
329,40,11,31.6875
330,39,17,31.8125
331,42,20,31.3125
332,42,20,32.4375
333,44,20,33.375
334,43,17,30.8125
335,47,22,33.25
336,36,6,27.875
337,40,23,32.0625
338,43,24,32.6875
339,42,20,31.4375
340,37,22,31.0625
341,48,7,30.625
342,47,22,33.125
343,41,10,31.6875
344,36,23,30.9375
345,39,9,31.625
346,43,23,33.125
