Generation,Best,Worst,Average
0,25,7,12.4375
1,27,4,11.583333333333334
2,29,0,12.083333333333334
3,28,0,12.020833333333334
4,23,0,11.708333333333334
5,29,5,12.229166666666666
6,27,0,11.958333333333334
7,27,0,11.166666666666666
8,34,0,12.3125
9,30,6,12.5
10,25,0,13.0
11,27,4,11.9375
12,20,0,11.041666666666666
13,27,4,12.375
14,24,0,11.104166666666666
15,26,0,11.729166666666666
16,30,4,12.3125
17,28,0,12.9375
18,29,0,12.458333333333334
19,25,0,11.75
20,32,0,12.833333333333334
21,25,0,12.5625
22,24,5,11.6875
23,26,0,11.0
24,32,0,13.395833333333334
25,28,0,12.9375
26,28,5,14.729166666666666
27,31,5,15.729166666666666
28,30,0,15.833333333333334
29,33,5,17.979166666666668
30,32,7,21.854166666666668
31,30,7,20.208333333333332
32,31,8,20.1875
33,32,6,21.979166666666668
34,31,6,20.9375
35,31,8,21.708333333333332
36,30,6,20.770833333333332
37,35,9,20.1875
38,31,9,21.416666666666668
39,31,9,20.645833333333332
40,42,12,22.291666666666668
41,30,7,19.916666666666668
42,29,9,20.583333333333332
43,32,4,18.458333333333332
44,32,5,20.083333333333332
45,33,5,20.020833333333332
46,31,6,20.375
47,29,5,21.0625
48,34,9,21.104166666666668
49,31,11,21.145833333333332
50,31,6,20.354166666666668
51,38,4,22.1875
52,32,9,21.291666666666668
53,42,8,21.4375
54,37,8,20.75
55,33,8,21.708333333333332
56,34,8,20.270833333333332
57,29,6,21.041666666666668
58,29,4,19.416666666666668
59,32,9,21.770833333333332
60,36,8,22.375
61,32,9,20.354166666666668
62,33,10,22.041666666666668
63,29,9,21.979166666666668
64,29,12,21.604166666666668
65,38,7,20.833333333333332
66,34,9,20.8125
67,33,9,19.729166666666668
68,28,9,19.333333333333332
69,33,5,20.395833333333332
70,28,5,19.666666666666668
71,33,6,20.458333333333332
72,31,8,21.0
73,33,8,20.6875
74,31,7,21.041666666666668
75,31,8,22.104166666666668
76,31,6,21.229166666666668
77,30,11,21.3125
78,30,6,20.166666666666668
79,34,7,21.104166666666668
80,31,8,21.041666666666668
81,32,9,21.458333333333332
82,30,8,22.145833333333332
83,33,8,20.791666666666668
84,30,7,21.3125
85,28,8,20.416666666666668
86,31,10,20.979166666666668
87,36,6,21.625
88,33,9,22.5625
89,35,6,21.583333333333332
90,32,10,21.666666666666668
91,33,8,20.729166666666668
92,32,7,20.583333333333332
93,33,7,19.979166666666668
94,35,8,21.125
95,31,7,21.125
96,31,10,21.458333333333332
97,31,5,21.958333333333332
98,31,5,18.770833333333332
99,31,7,19.979166666666668
100,28,9,20.3125
101,29,6,21.1875
102,38,7,21.520833333333332
103,33,7,21.916666666666668
104,32,7,21.208333333333332
105,29,9,20.6875
106,30,8,21.166666666666668
107,31,10,21.229166666666668
108,32,10,22.041666666666668
109,31,9,22.0625
110,31,7,22.229166666666668
111,31,5,21.229166666666668
112,32,8,21.9375
113,33,9,21.645833333333332
114,29,8,19.479166666666668
115,31,5,22.166666666666668
116,35,11,22.083333333333332
117,38,4,20.166666666666668
118,29,4,19.9375
119,31,5,21.083333333333332
120,29,7,21.875
121,36,11,23.625
122,41,8,20.625
123,35,7,20.541666666666668
124,38,5,20.6875
125,33,6,22.416666666666668
126,42,7,21.375
127,36,8,21.8125
128,35,8,22.0
129,34,8,22.270833333333332
130,33,7,21.0
131,32,13,21.625
132,33,6,21.75
133,38,13,22.708333333333332
134,32,9,21.166666666666668
135,28,13,22.020833333333332
136,41,14,21.9375
137,41,8,20.645833333333332
138,32,11,21.791666666666668
139,38,4,20.541666666666668
140,33,8,21.5
141,39,10,22.854166666666668
142,33,7,21.5
143,36,7,21.875
144,38,8,21.0625
145,38,6,21.625
146,33,5,21.0
147,31,6,20.770833333333332
