Generation,Best,Worst,Average
0,21,0,11.625
1,24,0,11.208333333333334
2,26,0,12.041666666666666
3,22,0,11.020833333333334
4,17,5,11.0
5,23,4,11.645833333333334
6,24,0,11.770833333333334
7,23,4,10.520833333333334
8,25,0,10.75
9,16,0,10.708333333333334
10,17,6,10.875
11,20,4,11.479166666666666
12,28,0,11.916666666666666
13,28,5,11.729166666666666
14,23,0,10.833333333333334
15,15,4,10.645833333333334
16,19,0,11.479166666666666
17,25,0,10.979166666666666
18,30,0,10.729166666666666
19,30,0,10.666666666666666
20,24,0,11.020833333333334
21,28,0,11.395833333333334
22,21,0,10.354166666666666
23,27,0,11.4375
24,17,0,10.270833333333334
25,21,0,10.708333333333334
26,23,0,11.8125
27,26,0,11.604166666666666
28,31,0,11.958333333333334
29,29,0,12.958333333333334
30,25,0,11.416666666666666
31,20,0,11.166666666666666
32,26,0,12.166666666666666
33,31,0,11.833333333333334
34,27,0,11.520833333333334
35,28,0,12.458333333333334
36,28,5,12.1875
37,27,3,13.208333333333334
38,35,6,13.25
39,33,5,12.583333333333334
40,26,4,12.458333333333334
41,31,0,13.25
42,30,7,14.625
43,29,0,13.458333333333334
44,26,0,12.395833333333334
45,30,5,15.145833333333334
46,28,0,14.895833333333334
47,31,6,17.25
48,32,4,17.270833333333332
49,29,5,17.375
50,30,8,16.625
51,34,0,16.958333333333332
52,30,8,17.979166666666668
53,32,5,17.916666666666668
54,30,7,19.729166666666668
55,31,5,19.104166666666668
56,28,0,19.270833333333332
57,29,5,19.833333333333332
58,33,4,20.291666666666668
59,29,0,18.854166666666668
60,28,8,20.604166666666668
61,33,11,23.041666666666668
62,31,6,19.395833333333332
63,34,8,20.625
64,29,0,19.25
65,33,8,20.25
66,31,3,22.083333333333332
67,32,0,20.041666666666668
68,30,0,19.708333333333332
69,32,4,20.916666666666668
70,31,4,20.020833333333332
71,38,6,19.708333333333332
72,41,8,21.291666666666668
73,36,6,21.104166666666668
74,39,0,20.916666666666668
75,31,5,21.208333333333332
76,35,0,20.9375
77,30,6,21.0625
78,34,8,22.520833333333332
79,41,9,21.458333333333332
80,38,5,21.8125
81,39,10,22.9375
82,42,5,22.270833333333332
83,37,9,21.895833333333332
84,35,0,19.5625
85,37,0,20.979166666666668
86,39,8,21.666666666666668
87,40,7,20.75
88,40,13,23.625
89,34,8,21.666666666666668
90,42,8,23.479166666666668
91,39,5,22.520833333333332
92,47,6,22.4375
93,46,7,23.041666666666668
94,43,8,23.8125
95,41,6,23.5
96,39,8,24.1875
97,47,6,25.0
98,46,5,24.145833333333332
99,40,9,25.9375
100,46,8,26.729166666666668
101,43,0,24.0625
102,42,10,26.458333333333332
103,43,8,26.208333333333332
104,41,6,28.083333333333332
105,40,8,25.958333333333332
106,46,7,27.166666666666668
107,45,0,24.729166666666668
108,43,7,27.0
109,40,6,27.729166666666668
110,41,7,25.020833333333332
111,42,6,28.708333333333332
112,41,7,27.104166666666668
113,47,11,29.270833333333332
114,44,11,28.520833333333332
115,41,7,27.916666666666668
116,40,8,27.604166666666668
117,45,19,31.479166666666668
118,45,10,30.5625
119,46,6,30.291666666666668
120,39,12,29.604166666666668
121,44,6,28.729166666666668
122,42,17,30.333333333333332
123,44,8,30.875
124,42,8,30.208333333333332
125,43,8,29.3125
126,45,8,29.125
127,45,4,28.541666666666668
128,46,0,28.166666666666668
129,45,7,30.875
130,40,9,28.979166666666668
131,41,8,28.916666666666668
132,43,7,29.625
133,43,10,29.833333333333332
134,43,7,30.104166666666668
135,44,10,30.708333333333332
136,43,13,28.708333333333332
137,42,8,30.020833333333332
138,41,6,27.4375
139,42,10,29.3125
140,45,9,31.916666666666668
141,47,8,29.375
142,43,8,28.833333333333332
143,42,9,28.6875
144,41,20,32.395833333333336
