Generation,Best,Worst,Average
0,26,0,11.541666666666666
1,29,0,10.729166666666666
2,16,0,10.916666666666666
3,25,5,12.520833333333334
4,27,0,11.145833333333334
5,23,6,11.729166666666666
6,19,0,11.270833333333334
7,21,3,11.583333333333334
8,24,0,10.458333333333334
9,27,5,11.729166666666666
10,25,0,11.75
11,42,0,12.3125
12,30,0,12.416666666666666
13,31,5,12.1875
14,30,5,12.625
15,27,4,12.541666666666666
16,31,7,13.5625
17,33,0,13.1875
18,31,7,15.3125
19,35,5,15.666666666666666
20,39,5,16.708333333333332
21,34,7,17.541666666666668
22,36,5,20.645833333333332
23,31,5,19.979166666666668
24,31,5,19.666666666666668
25,31,4,19.666666666666668
26,32,5,19.854166666666668
27,33,9,20.8125
28,32,8,21.416666666666668
29,34,6,20.25
30,34,5,19.875
31,35,10,21.0
32,35,6,20.583333333333332
33,31,11,22.166666666666668
34,28,4,19.375
35,30,6,20.708333333333332
36,33,7,20.104166666666668
37,33,10,20.75
38,34,12,21.6875
39,43,5,20.895833333333332
40,41,5,21.979166666666668
41,37,9,21.916666666666668
42,27,9,20.270833333333332
43,31,8,20.166666666666668
44,37,9,21.833333333333332
45,28,4,20.5
46,31,5,20.166666666666668
47,28,9,20.3125
48,38,0,21.9375
49,36,8,20.541666666666668
50,31,12,21.6875
51,40,4,21.291666666666668
52,39,6,21.583333333333332
53,43,8,21.708333333333332
54,31,11,21.916666666666668
55,37,12,21.9375
56,37,8,21.604166666666668
57,33,8,21.645833333333332
58,35,5,20.541666666666668
59,36,6,19.520833333333332
60,40,9,22.520833333333332
61,34,6,21.916666666666668
62,35,6,22.3125
63,44,5,22.645833333333332
64,38,5,20.75
65,42,9,24.145833333333332
66,41,4,20.979166666666668
67,43,4,22.604166666666668
68,39,5,23.291666666666668
69,53,4,24.666666666666668
70,44,7,26.979166666666668
71,44,11,27.666666666666668
72,50,6,28.583333333333332
73,42,11,30.520833333333332
74,41,10,27.833333333333332
75,43,8,28.604166666666668
76,42,9,29.4375
77,42,6,29.145833333333332
78,43,7,31.375
79,46,7,27.5
80,39,4,29.395833333333332
81,47,7,27.625
82,43,6,29.3125
83,40,0,25.458333333333332
84,43,0,28.083333333333332
85,43,12,29.5
86,41,5,28.520833333333332
87,45,7,28.854166666666668
88,47,13,30.354166666666668
89,44,11,31.395833333333332
90,47,3,29.270833333333332
91,40,6,28.9375
92,46,8,30.729166666666668
93,44,9,29.6875
94,45,12,30.041666666666668
95,56,9,31.541666666666668
96,49,10,28.458333333333332
97,51,7,29.0
98,48,5,29.645833333333332
99,53,11,32.104166666666664
100,50,13,33.416666666666664
101,49,7,34.104166666666664
102,55,8,36.333333333333336
103,56,5,36.791666666666664
104,52,8,37.520833333333336
105,55,5,40.166666666666664
106,55,5,38.166666666666664
107,52,11,37.479166666666664
108,55,10,38.625
109,51,12,38.916666666666664
110,55,8,38.166666666666664
111,61,13,41.666666666666664
112,55,11,37.4375
113,58,9,40.25
114,59,11,37.979166666666664
115,52,9,36.979166666666664
116,54,15,39.6875
117,56,9,38.895833333333336
118,52,9,39.354166666666664
119,56,8,38.333333333333336
120,52,20,41.208333333333336
121,57,8,36.833333333333336
122,51,17,40.5625
123,51,6,37.916666666666664
124,54,11,40.520833333333336
125,57,0,39.708333333333336
126,54,10,39.083333333333336
127,55,20,40.625
128,51,8,37.8125
129,54,24,41.6875
130,54,10,39.875
131,57,17,42.0
132,54,9,39.104166666666664
133,50,11,40.833333333333336
134,56,19,41.1875
135,54,5,41.104166666666664
136,52,19,42.4375
137,51,13,41.1875
138,58,21,43.895833333333336
139,58,9,41.8125
140,55,14,40.083333333333336
141,55,23,41.0625
142,51,10,39.208333333333336
143,53,21,42.291666666666664
144,53,10,39.979166666666664
145,55,12,40.291666666666664
146,55,12,41.75
147,60,10,41.666666666666664
148,55,23,43.208333333333336
149,55,7,39.375
