Generation,Best,Worst,Average
0,27,0,10.729166666666666
1,30,0,11.1875
2,22,0,10.0
3,37,0,11.375
4,24,0,11.291666666666666
5,29,0,11.75
6,41,0,11.166666666666666
7,24,0,11.416666666666666
8,23,0,10.895833333333334
9,26,0,10.1875
10,26,0,12.166666666666666
11,25,6,11.791666666666666
12,33,0,12.020833333333334
13,26,0,12.125
14,29,0,9.895833333333334
15,25,0,11.145833333333334
16,35,4,12.875
17,29,0,12.020833333333334
18,25,0,13.354166666666666
19,25,0,11.208333333333334
20,31,0,10.979166666666666
21,32,6,12.583333333333334
22,25,0,10.875
23,30,0,11.875
24,22,0,9.791666666666666
25,30,0,10.979166666666666
26,22,0,11.6875
27,22,0,10.5625
28,28,0,11.854166666666666
29,27,0,13.104166666666666
30,23,0,10.895833333333334
31,40,0,11.604166666666666
32,30,0,12.875
33,30,0,13.979166666666666
34,23,1,11.375
35,28,0,12.9375
36,24,6,12.145833333333334
37,28,0,13.291666666666666
38,34,0,12.791666666666666
39,41,0,12.708333333333334
40,38,4,14.5625
41,32,0,11.6875
42,34,0,12.645833333333334
43,24,0,12.895833333333334
44,38,7,18.0
45,38,8,17.541666666666668
46,32,8,18.979166666666668
47,34,10,21.75
48,40,7,22.5625
49,45,6,24.270833333333332
50,43,5,23.375
51,42,9,24.208333333333332
52,39,6,24.020833333333332
53,45,7,27.375
54,42,10,27.333333333333332
55,47,6,29.770833333333332
56,45,10,29.375
57,44,18,30.875
58,45,9,27.520833333333332
59,42,10,30.604166666666668
60,54,12,31.479166666666668
61,43,10,30.166666666666668
62,43,15,31.5
63,42,16,29.25
64,43,6,29.270833333333332
65,46,13,31.25
66,44,10,30.104166666666668
67,42,11,28.395833333333332
68,43,11,31.1875
69,39,14,30.833333333333332
70,43,12,30.291666666666668
71,38,19,29.479166666666668
72,49,18,33.041666666666664
73,44,15,31.375
74,42,18,31.5
75,42,13,31.666666666666668
76,44,19,32.979166666666664
77,42,14,31.229166666666668
78,42,9,32.0
79,45,14,31.4375
80,45,9,31.145833333333332
81,43,9,30.395833333333332
82,44,6,31.25
83,42,23,32.708333333333336
84,44,18,30.770833333333332
85,40,17,31.666666666666668
86,44,19,32.979166666666664
87,42,9,29.6875
88,41,22,32.833333333333336
89,44,10,31.604166666666668
90,43,7,31.729166666666668
91,44,16,32.229166666666664
92,40,9,29.645833333333332
93,48,21,32.479166666666664
94,45,11,32.520833333333336
95,44,10,32.229166666666664
96,42,7,30.9375
97,42,19,32.145833333333336
98,43,18,33.229166666666664
99,44,17,32.854166666666664
100,40,8,31.375
101,48,14,32.354166666666664
102,45,12,31.895833333333332
103,47,10,29.979166666666668
104,43,15,31.270833333333332
105,45,21,32.083333333333336
106,40,17,33.0
107,44,10,30.625
108,42,11,32.270833333333336
109,42,13,30.9375
110,40,20,31.395833333333332
111,44,11,31.541666666666668
112,41,18,30.770833333333332
113,46,21,32.6875
114,45,13,31.104166666666668
115,42,9,29.5625
116,42,6,29.708333333333332
117,44,9,31.645833333333332
118,42,14,30.0625
119,46,9,32.229166666666664
120,48,19,31.625
121,43,10,31.9375
122,45,16,31.645833333333332
123,44,12,30.604166666666668
124,43,17,30.3125
125,40,19,31.229166666666668
126,45,17,32.791666666666664
127,55,6,31.0625
128,43,16,31.458333333333332
129,43,7,32.145833333333336
130,48,21,32.916666666666664
131,43,13,33.208333333333336
132,44,16,32.666666666666664
133,42,11,32.583333333333336
134,46,15,32.4375
135,43,13,31.6875
136,44,22,32.354166666666664
137,44,19,32.0
138,43,16,32.229166666666664
139,42,17,32.104166666666664
140,49,12,32.416666666666664
141,46,17,32.291666666666664
142,42,14,31.958333333333332
143,47,11,32.979166666666664
144,40,16,32.5625
145,47,13,31.520833333333332
146,47,23,34.1875
147,42,16,31.979166666666668
148,41,18,30.875
149,45,11,32.125
150,42,11,30.208333333333332
151,44,8,32.6875
152,40,17,31.6875
153,48,15,31.291666666666668
154,45,17,32.833333333333336
155,45,7,32.270833333333336
156,42,22,32.520833333333336
157,42,16,33.895833333333336
158,45,8,32.229166666666664
159,44,24,33.854166666666664
160,39,5,30.958333333333332
161,43,9,31.833333333333332
162,41,21,33.6875
163,43,24,32.25
164,49,23,34.270833333333336
165,43,19,32.979166666666664
166,44,14,32.770833333333336
167,41,24,32.333333333333336
168,46,22,33.729166666666664
169,42,18,31.166666666666668
170,45,9,32.729166666666664
171,45,15,32.9375
172,45,15,32.708333333333336
173,44,18,34.541666666666664
174,45,15,33.291666666666664
175,46,12,31.479166666666668
176,46,25,32.833333333333336
177,42,22,32.854166666666664
178,45,19,32.083333333333336
179,40,20,33.583333333333336
180,46,21,34.208333333333336
181,45,16,32.958333333333336
182,42,23,34.125
183,46,17,31.708333333333332
184,41,22,32.916666666666664
185,43,26,33.833333333333336
186,42,19,31.875
187,47,15,32.270833333333336
188,41,16,31.833333333333332
189,44,19,32.416666666666664
190,41,16,32.270833333333336
191,44,21,32.4375
192,43,18,33.0625
193,45,16,32.958333333333336
194,41,21,32.8125
195,47,16,31.895833333333332
196,42,22,31.979166666666668
197,49,20,31.9375
198,48,14,32.125
199,41,18,32.520833333333336
200,50,14,32.145833333333336
201,45,17,32.458333333333336
202,41,7,30.541666666666668
203,42,20,31.604166666666668
204,44,17,30.958333333333332
205,44,4,30.645833333333332
206,42,13,30.458333333333332
207,45,15,30.854166666666668
208,40,11,30.354166666666668
209,43,9,30.145833333333332
210,45,10,30.9375
211,43,11,31.354166666666668
212,39,5,30.916666666666668
213,46,12,33.270833333333336
214,44,14,31.291666666666668
215,39,18,32.625
216,43,13,31.4375
217,49,18,31.625
218,43,18,31.645833333333332
219,42,17,34.104166666666664
220,48,13,32.8125
221,44,23,33.583333333333336
222,46,8,32.583333333333336
223,49,20,32.854166666666664
224,48,16,32.625
225,44,17,32.458333333333336
226,44,11,31.395833333333332
227,43,21,32.958333333333336
228,46,19,31.979166666666668
229,46,16,32.270833333333336
230,40,20,31.354166666666668
231,45,18,32.8125
232,42,17,32.291666666666664
233,43,8,31.75
234,47,22,34.270833333333336
235,42,12,31.979166666666668
236,43,16,32.895833333333336
237,45,12,32.916666666666664
238,45,15,32.541666666666664
239,44,15,32.166666666666664
240,42,19,33.0
241,41,18,32.770833333333336
242,44,14,31.125
243,41,15,32.5
244,45,11,33.104166666666664
245,43,15,32.458333333333336
246,44,22,31.354166666666668
247,43,17,32.104166666666664
248,45,17,31.895833333333332
249,42,5,30.958333333333332
250,44,15,31.541666666666668
251,41,8,31.041666666666668
252,45,17,32.125
253,43,17,31.395833333333332
254,42,14,30.875
255,46,17,32.166666666666664
256,50,9,31.291666666666668
257,41,6,31.125
258,43,20,33.875
259,41,19,32.770833333333336
260,44,20,32.083333333333336
261,46,19,32.354166666666664
262,41,16,30.5
263,47,17,32.854166666666664
264,44,14,30.458333333333332
265,42,20,31.708333333333332
