Generation,Best,Worst,Average
925,19,6,11.25
926,19,3,10.6875
927,22,6,12.0
928,16,6,10.0625
929,15,5,11.0625
930,15,6,9.9375
931,13,7,9.625
932,20,7,11.5
933,19,6,12.3125
934,20,6,11.9375
935,15,4,11.125
936,14,6,10.1875
937,17,4,12.1875
938,16,5,9.8125
939,17,5,11.375
940,20,0,12.3125
941,19,0,10.3125
942,14,2,8.9375
943,16,7,11.0625
944,16,5,10.75
945,16,5,10.3125
946,18,8,11.6875
947,17,6,11.625
948,18,6,11.125
949,17,5,11.5625
950,17,7,12.0
951,17,5,11.1875
952,18,6,11.0625
953,17,2,10.5625
954,15,3,11.5625
955,19,5,11.5625
956,16,3,11.125
957,16,7,11.0
958,18,8,12.4375
959,14,2,9.8125
960,18,7,11.9375
961,17,6,11.8125
962,18,4,11.0
963,17,5,10.1875
964,21,5,12.5
965,18,8,12.9375
966,16,4,10.5625
967,20,6,11.4375
968,20,8,12.3125
969,15,9,11.4375
970,20,5,9.625
971,18,5,12.0
972,14,6,10.4375
973,17,5,10.625
974,19,7,11.375
975,16,7,11.5625
976,20,6,11.125
977,19,3,11.4375
978,15,4,10.5625
979,16,6,10.75
980,15,8,11.375
981,17,5,10.75
982,15,8,10.875
983,21,6,12.0625
984,17,5,10.875
985,18,5,10.875
986,16,6,10.5625
987,17,5,12.4375
988,15,6,11.125
989,19,7,11.5
990,16,8,12.0
991,18,6,10.6875
992,18,6,11.3125
993,16,6,9.125
994,18,5,10.9375
995,16,6,11.1875
996,21,5,11.375
997,17,5,11.5
998,15,5,11.3125
999,19,5,11.0625
1000,19,5,11.4375
1001,18,6,9.875
1002,15,7,11.0
1003,16,4,10.25
1004,21,7,10.4375
1005,20,7,11.9375
1006,24,8,12.25
1007,15,4,9.0625
1008,18,7,11.4375
1009,20,6,11.8125
1010,17,7,11.9375
1011,16,4,10.5625
1012,18,5,12.25
1013,18,5,10.5
1014,18,5,11.5625
1015,20,4,10.625
1016,16,8,11.9375
1017,18,8,11.8125
1018,15,5,11.125
1019,14,6,10.0625
1020,16,4,10.75
1021,17,7,11.875
1022,18,4,9.75
1023,16,6,10.4375
1024,15,6,11.0625
1025,16,8,11.75
1026,15,6,10.25
1027,19,7,10.625
1028,17,6,11.625
1029,16,8,12.6875
1030,18,6,11.875
1031,15,8,11.0625
1032,15,7,11.3125
1033,16,6,11.9375
1034,19,5,11.3125
1035,16,6,11.0625
1036,22,4,11.25
1037,17,6,10.625
1038,17,5,11.1875
1039,21,8,13.75
1040,16,7,11.375
1041,15,7,9.9375
1042,15,6,11.0
1043,17,8,12.625
1044,18,6,11.0
1045,20,4,10.875
1046,16,5,9.75
1047,15,5,11.0625
1048,20,8,12.375
1049,17,7,11.5625
1050,17,6,11.0625
1051,19,7,11.125
1052,20,7,12.5
1053,15,7,10.1875
1054,23,6,12.4375
1055,17,6,10.75
1056,19,5,11.875
1057,18,8,12.25
1058,18,8,11.9375
1059,15,7,10.875
1060,16,6,11.0625
1061,18,6,10.125
1062,17,6,9.875
1063,21,5,11.0625
1064,16,6,11.0625
1065,20,6,12.0
1066,18,7,12.5
1067,13,3,9.3125
1068,18,5,10.0
1069,14,5,9.5625
1070,19,6,11.875
1071,20,6,12.0625
1072,16,4,10.8125
1073,14,5,10.625
1074,14,7,9.6875
1075,14,4,10.4375
1076,16,6,11.0625
1077,14,7,9.875
1078,17,7,11.0
1079,18,5,10.0625
1080,18,6,10.3125
1081,18,5,11.4375
1082,15,7,11.5
1083,17,6,11.0
1084,16,6,10.125
1085,18,5,9.75
1086,17,6,11.375
1087,18,8,11.9375
1088,16,6,11.125
1089,17,7,11.125
1090,15,6,11.0625
1091,15,5,9.625
1092,19,5,12.4375
1093,16,5,9.9375
1094,17,6,10.5625
1095,13,7,10.375
1096,18,4,11.125
1097,19,8,11.8125
1098,16,5,9.9375
1099,14,6,10.75
1100,19,4,10.5
1101,17,7,10.625
1102,20,4,11.75
1103,19,8,11.5
1104,16,9,12.4375
1105,16,6,11.0
1106,15,7,9.6875
1107,18,6,10.875
1108,15,5,10.125
1109,18,6,11.0625
1110,18,6,10.8125
1111,18,7,12.1875
1112,16,6,10.5625
1113,18,6,9.625
1114,16,8,11.0625
1115,19,6,11.5
1116,20,5,11.75
1117,16,7,10.375
1118,19,7,11.875
1119,15,5,10.1875
1120,19,3,11.3125
1121,13,6,10.0
1122,18,7,11.875
1123,16,4,10.5625
1124,14,7,10.6875
1125,18,5,11.625
1126,15,7,11.5625
1127,19,8,11.4375
1128,20,7,11.8125
1129,17,6,10.5
1130,17,7,12.375
1131,17,6,10.75
1132,17,9,12.5
1133,18,6,11.875
1134,16,5,11.25
1135,21,5,10.5
1136,15,6,10.8125
1137,15,8,11.0625
1138,16,5,10.9375
1139,17,4,10.375
1140,18,7,11.4375
1141,16,8,11.625
